student_ID,peak_hour,night_owl_ratio,weekend_ratio,learning_continuity,morning_sessions,afternoon_sessions,evening_sessions,night_sessions,total_sessions,total_attempts,correct_rate,avg_score,avg_time_per_attempt,top_knowledge,knowledge_focus,prefer_easy,prefer_medium,prefer_hard,avg_interval_min,interval_std,burst_behavior_ratio,persistence_rate,unique_titles_attempted,index,sex,age,major
0088dc183f73c83f763e,8,0.1902834008097166,0.05668016194331984,0.2413793103448276,126,74,0,47,247,247,0.2145748987854251,0.7935222672064778,3.75,r8S3g,0.23481781376518218,0.44129554655870445,0.5587044534412956,0.0,500.06050135501357,2176.154936392441,0.7154471544715447,1.0,38,104,female,20,J40192
00df647ee4bf7173642f,8,0.1694915254237288,0.2730696798493409,0.22916666666666666,308,133,0,90,531,531,0.11299435028248588,0.5856873822975518,19.393474088291747,y9W5d,0.2598870056497175,0.23728813559322035,0.7627118644067796,0.0,257.25314465408803,3601.559714748887,0.7415094339622641,1.0,38,1219,male,23,J57489
0107f72b66cbd1a0926d,7,0.2517985611510791,0.35251798561151076,0.16037735849056603,47,57,0,35,139,139,0.3237410071942446,1.2446043165467626,3.449275362318841,y9W5d,0.26618705035971224,0.302158273381295,0.697841726618705,0.0,1097.3660628019322,6519.444489100705,0.6159420289855072,1.0,38,394,female,20,J87654
011d454f199c123d44ad,6,0.18636363636363637,0.509090909090909,0.19117647058823528,103,76,0,41,220,220,0.20909090909090908,0.6363636363636364,3.423076923076923,m3D1v,0.39545454545454545,0.2681818181818182,0.7318181818181818,0.0,439.28576864535773,2374.1813929462683,0.7442922374429224,1.0,38,224,male,22,J78901
01558eef77a8d39b7103,15,0.2391304347826087,0.4673913043478261,0.25203252032520324,23,117,0,44,184,184,0.266304347826087,0.9347826086956522,12.977142857142857,m3D1v,0.27717391304347827,0.32608695652173914,0.6739130434782609,0.0,959.5872495446266,2989.1436980670037,0.5901639344262295,1.0,38,1304,female,18,J57489
016226278e6a69e10aa4,13,0.3057324840764331,0.22929936305732485,0.39285714285714285,77,141,0,96,314,314,0.14968152866242038,0.5222929936305732,3.713375796178344,r8S3g,0.2929936305732484,0.47770700636942676,0.5222929936305732,0.0,381.13301384451546,1468.1990654168062,0.6900958466453674,1.0,38,312,female,22,J78901
01a691413dc5897db83f,14,0.11980033277870217,0.46755407653910147,0.1978021978021978,196,333,0,72,601,601,0.08652246256239601,0.47587354409317806,6.346869712351946,m3D1v,0.33943427620632277,0.23294509151414308,0.7670549084858569,0.0,216.11202777777777,2637.826181534227,0.855,1.0,38,1128,male,18,J57489
01d8aa21ef476b66c573,12,0.09523809523809523,0.3380952380952381,0.17721518987341772,107,83,0,20,210,210,0.23809523809523808,0.9857142857142858,3.789473684210526,y9W5d,0.42857142857142855,0.20476190476190476,0.7952380952380952,0.0,538.5714513556619,3623.103239783659,0.6985645933014354,1.0,38,13,male,18,J87654
01qkq6w2v62cimidb3b7,11,0.189873417721519,0.21518987341772153,0.673469387755102,58,68,2,30,158,158,0.1962025316455696,0.8037974683544303,17.206451612903226,y9W5d,0.2088607594936709,0.31645569620253167,0.6835443037974683,0.0,883.0167728237792,1224.3108405534279,0.22929936305732485,0.5833333333333334,35,552,female,19,J57489
02068067a434adb6556a,0,1.0,0.0,1.0,0,0,0,4,4,4,0.0,0.0,2.75,r8S3g,1.0,1.0,0.0,0.0,0.2722222222222222,0.09179284245476835,1.0,0.0,1,975,female,18,J23517
0258f681a9e1756dfc76,8,0.1443478260869565,0.20173913043478262,0.4,212,280,0,83,575,575,0.10260869565217391,0.44173913043478263,10.1508078994614,m3D1v,0.24695652173913044,0.391304347826087,0.6086956521739131,0.0,223.5649825783972,1322.2562395654184,0.837979094076655,1.0,38,494,female,22,J78901
03754dce5ec7731fb3e2,13,0.3333333333333333,0.3962962962962963,0.27722772277227725,75,105,0,90,270,270,0.337037037037037,1.6111111111111112,6.514925373134329,g7R2j,0.32592592592592595,0.1925925925925926,0.8074074074074075,0.0,536.066790582404,2045.2032465238299,0.7360594795539034,1.0,38,407,female,20,J23517
037a76bc8e6bf5fe1fc0,11,0.10638297872340426,0.0,0.6666666666666666,31,11,0,5,47,47,0.9361702127659575,2.4680851063829787,3.382978723404255,m3D1v,0.2765957446808511,0.23404255319148937,0.7659574468085106,0.0,67.78442028985508,337.0544067046731,0.391304347826087,1.0,38,977,male,18,J78901
03aa0b20dd4af1888eef,12,0.14385964912280702,0.25263157894736843,0.4567901234567901,110,134,0,41,285,285,0.21754385964912282,0.8140350877192982,3.425,y9W5d,0.26666666666666666,0.34385964912280703,0.656140350877193,0.0,404.0178403755869,1498.8023605806889,0.6197183098591549,1.0,38,19,male,22,J23517
03e0c9bff3a9557480d9,13,0.27848101265822783,0.379746835443038,0.1523809523809524,33,81,0,44,158,158,0.23417721518987342,0.9810126582278481,3.9177215189873418,r8S3g,0.37341772151898733,0.5632911392405063,0.43670886075949367,0.0,949.9288747346072,5423.320119341399,0.6369426751592356,0.7619047619047619,36,425,male,24,J23517
04f2689b4ea16d8d7d9a,12,0.30955585464333785,0.1601615074024226,0.4523809523809524,281,232,0,230,743,743,0.06998654104979811,0.5693135935397039,8.510094212651413,r8S3g,0.23822341857335128,0.4158815612382234,0.5841184387617766,0.0,161.68027852650494,841.8733933994896,0.7924528301886793,0.75,38,506,male,23,J78901
0557b1363a5092b5811f,14,0.2808219178082192,0.4195205479452055,0.6071428571428571,171,249,0,164,584,584,0.11643835616438356,0.4726027397260274,12.492254733218589,t5V9e,0.24143835616438356,0.2962328767123288,0.7037671232876712,0.0,67.25600343053173,552.7574719504379,0.8387650085763293,1.0,38,953,female,20,J40192
0559e9cf806dab4cc20d,12,0.3208092485549133,0.27167630057803466,0.4117647058823529,118,117,0,111,346,346,0.1329479768786127,0.6416184971098265,12.529239766081872,g7R2j,0.22254335260115607,0.15606936416184972,0.8439306358381503,0.0,281.92478260869564,1561.8273269606696,0.6840579710144927,1.0,38,775,male,22,J78901
056ab41140f68c15db14,13,0.29900332225913623,0.12292358803986711,0.2191780821917808,83,128,0,90,301,301,0.17275747508305647,1.026578073089701,25.00343642611684,g7R2j,0.2956810631229236,0.1760797342192691,0.8239202657807309,0.0,345.989,3958.376137813192,0.79,1.0,38,1239,male,20,J57489
058c03d945c4ae0978a0,12,0.009523809523809525,0.18095238095238095,0.2236842105263158,42,62,0,1,105,105,0.44761904761904764,1.6095238095238096,3.5142857142857142,y9W5d,0.3047619047619048,0.13333333333333333,0.8666666666666667,0.0,1042.2310897435898,3365.769974520913,0.3942307692307692,1.0,38,139,female,18,J87654
05e1c3ce1728da7e37e0,12,0.0,0.3615819209039548,0.14814814814814814,33,144,0,0,177,177,0.1638418079096045,0.4124293785310734,3.3448275862068964,r8S3g,0.3672316384180791,0.672316384180791,0.327683615819209,0.0,433.44517045454546,2906.902052684601,0.8636363636363636,0.8888888888888888,24,468,female,20,J87654
05e6d9723ab3cde0841d,14,0.2805049088359046,0.20476858345021037,0.2962962962962963,304,209,0,200,713,713,0.0729312762973352,0.3814866760168303,16.25178826895565,y9W5d,0.34221598877980364,0.25105189340813466,0.7489481065918654,0.0,107.34105805243445,1142.5493284198865,0.8623595505617978,1.0,38,516,male,24,J57489
061db2c91f94c612f2d4,15,0.16,0.2,0.16216216216216217,4,59,0,12,75,75,0.5866666666666667,2.026666666666667,4.506666666666667,y9W5d,0.26666666666666666,0.16,0.84,0.0,1422.863963963964,4896.560394049328,0.4594594594594595,1.0,38,329,male,22,J57489
