student_ID,Total_Submissions,Average_Score,Unique_Titles_Attempted,Avg_Attempts_Per_Title,Avg_Time_Duration,Overall_First_Pass_Count,Overall_Time_to_Pass_Avg,Learning_Days,Night_Owl_Rate,sex,age,major
0088dc183f73c83f763e,247,0.7935222672064778,38,8.076923076923077,3.75,38,59.318141025641026,21,0.1902834008097166,female,20.0,J40192
00cbf05221bb479e66c3,279,0.6057347670250897,38,10.78494623655914,11.372759856630825,38,31.456028474711268,20,0.2974910394265233,female,19.0,J23517
00df647ee4bf7173642f,531,0.5856873822975518,38,13.293785310734464,19.393474088291747,38,148.15241106926135,22,0.1694915254237288,male,23.0,J57489
0107f72b66cbd1a0926d,139,1.2446043165467626,38,3.0575539568345325,3.449275362318841,38,17.42105315747402,17,0.2517985611510791,female,20.0,J87654
011d454f199c123d44ad,220,0.6363636363636364,38,8.74090909090909,3.423076923076923,38,24.0041148989899,13,0.18636363636363637,male,22.0,J78901
01558eef77a8d39b7103,184,0.9347826086956522,38,6.804347826086956,12.977142857142857,38,65.02303442028985,31,0.2391304347826087,female,18.0,J57489
016226278e6a69e10aa4,314,0.5222929936305732,38,18.171974522292995,3.713375796178344,38,75.20156935598018,33,0.3057324840764331,female,22.0,J78901
01a691413dc5897db83f,601,0.47587354409317806,38,15.760399334442596,6.346869712351946,38,32.53926927343317,18,0.11980033277870217,male,18.0,J57489
01d8aa21ef476b66c573,210,0.9857142857142858,38,8.385714285714286,3.789473684210526,38,13.472239417989417,14,0.09523809523809523,male,18.0,J87654
01qkq6w2v62cimidb3b7,158,0.8037974683544303,35,2.888888888888889,17.206451612903226,25,425.34597578347575,66,0.189873417721519,female,19.0,J57489
02068067a434adb6556a,4,0.0,1,,2.75,0,,1,1.0,female,18.0,J23517
0258f681a9e1756dfc76,575,0.44173913043478263,38,19.321739130434782,10.1508078994614,38,44.997850724637686,36,0.1443478260869565,female,22.0,J78901
03754dce5ec7731fb3e2,270,1.6111111111111112,38,1.8962962962962964,6.514925373134329,38,0.03639609053497943,28,0.3333333333333333,female,20.0,J23517
037a76bc8e6bf5fe1fc0,47,2.4680851063829787,38,1.1702127659574468,3.382978723404255,38,0.0033037825059101657,2,0.10638297872340426,male,18.0,J78901
03aa0b20dd4af1888eef,285,0.8140350877192982,38,9.221052631578948,3.425,38,34.97730019493177,37,0.14385964912280702,male,22.0,J23517
03b463f52c0fff35433b,81,1.6790123456790123,38,2.0123456790123457,10.5375,38,9.40939986282579,13,0.2716049382716049,female,21.0,J57489
03e0c9bff3a9557480d9,158,0.9810126582278481,36,9.183544303797468,3.9177215189873418,36,61.79209915611814,16,0.27848101265822783,male,24.0,J23517
04f2689b4ea16d8d7d9a,743,0.5693135935397039,38,35.56772334293948,8.510094212651413,35,118.32044588536664,38,0.30955585464333785,male,23.0,J78901
0557b1363a5092b5811f,584,0.4726027397260274,38,10.476027397260275,12.492254733218589,38,3.924913432267884,17,0.2808219178082192,female,20.0,J40192
0559e9cf806dab4cc20d,346,0.6416184971098265,38,11.401734104046243,12.529239766081872,38,100.59473827874118,28,0.3208092485549133,male,22.0,J78901
056ab41140f68c15db14,301,1.026578073089701,38,5.647840531561462,25.00343642611684,38,2.3184283868586197,16,0.29900332225913623,male,20.0,J57489
058c03d945c4ae0978a0,105,1.6095238095238096,38,2.638095238095238,3.5142857142857142,38,38.333222222222226,17,0.009523809523809525,female,18.0,J87654
05e1c3ce1728da7e37e0,177,0.4124293785310734,24,13.105590062111801,3.3448275862068964,22,3.9874137336093862,8,0.0,female,20.0,J87654
05e6d9723ab3cde0841d,713,0.3814866760168303,38,21.697054698457222,16.25178826895565,38,46.619236403303724,16,0.2805049088359046,male,24.0,J57489
061db2c91f94c612f2d4,75,2.026666666666667,38,1.72,4.506666666666667,38,0.12355185185185186,12,0.16,male,22.0,J57489
06309f4c8785254f4c13,86,1.3488372093023255,38,3.7209302325581395,3.8255813953488373,38,0.09503552971576226,5,0.5232558139534884,female,24.0,J78901
06aff3e28c5db152f506,169,1.2840236686390532,38,4.029585798816568,4.568047337278107,38,1.2552975016436554,24,0.1952662721893491,male,18.0,J40192
071685b292483b04e836,99,1.4747474747474747,38,4.121212121212121,3.595959595959596,38,80.04422558922559,21,0.30303030303030304,female,19.0,J23517
074d7f43de7264306775,253,0.5098814229249012,38,24.029535864978904,3.286290322580645,35,25.609109235818096,10,0.08300395256916997,male,21.0,J57489
077d5c82c9ee5019220f,175,1.1714285714285715,38,8.628571428571428,4.36,38,9.868704761904763,15,0.2057142857142857,female,20.0,J23517
07e3362d20ff4337671b,136,1.3823529411764706,38,3.963235294117647,4.014705882352941,38,0.48011233660130714,13,0.47794117647058826,female,21.0,J57489
091554ffa26fc9b17c36,96,1.78125,38,2.4375,13.189473684210526,38,56.16596064814814,14,0.17708333333333334,female,21.0,J23517
09400a9b50b6c96c5510,196,1.183673469387755,38,4.688775510204081,24.056410256410256,38,2.49297193877551,19,0.16326530612244897,female,19.0,J78901
098b2c66cbc1ed736e14,154,1.3181818181818181,38,3.207792207792208,3.366013071895425,38,30.08727994227994,16,0.16883116883116883,female,23.0,J78901
0999173c045ee29a0b44,162,1.0185185185185186,38,5.450617283950617,7.408805031446541,38,11.35738511659808,18,0.3888888888888889,female,22.0,J78901
09dfa3f18e48917f0242,382,0.4162303664921466,38,23.895287958115183,3.7263157894736842,38,49.374045229784755,17,0.15706806282722513,male,20.0,J23517
